"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 30 21:03:33 GMT 2025","Wed Jul 30 21:03:33 GMT 2025","91","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Wed Jul 30 21:03:33 GMT 2025","Wed Jul 30 21:03:33 GMT 2025","117","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Wed Jul 30 21:03:33 GMT 2025","Wed Jul 30 21:03:33 GMT 2025","189","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Wed Jul 30 21:03:33 GMT 2025","Wed Jul 30 21:03:33 GMT 2025","58","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Wed Jul 30 21:03:33 GMT 2025","Wed Jul 30 21:03:33 GMT 2025","94","","","","","","Test DELETE Call",""
"passed","Wed Jul 30 21:03:33 GMT 2025","Wed Jul 30 21:03:33 GMT 2025","60","","","","","","Test GET Call",""
