"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 03 21:03:34 GMT 2025","Wed Sep 03 21:03:34 GMT 2025","39","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Wed Sep 03 21:03:34 GMT 2025","Wed Sep 03 21:03:34 GMT 2025","547","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Wed Sep 03 21:03:34 GMT 2025","Wed Sep 03 21:03:34 GMT 2025","34","","","","","","Test GET Call",""
"passed","Wed Sep 03 21:03:34 GMT 2025","Wed Sep 03 21:03:34 GMT 2025","24","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Wed Sep 03 21:03:34 GMT 2025","Wed Sep 03 21:03:34 GMT 2025","185","","","","","","Test DELETE Call",""
"passed","Wed Sep 03 21:03:34 GMT 2025","Wed Sep 03 21:03:34 GMT 2025","64","","","","","","Test UPDATE call [put_payload_1.json]",""
