"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 03 21:03:24 GMT 2025","Sun Aug 03 21:03:25 GMT 2025","109","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Sun Aug 03 21:03:25 GMT 2025","Sun Aug 03 21:03:25 GMT 2025","112","","","","","","Test DELETE Call",""
"passed","Sun Aug 03 21:03:24 GMT 2025","Sun Aug 03 21:03:25 GMT 2025","100","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Sun Aug 03 21:03:24 GMT 2025","Sun Aug 03 21:03:25 GMT 2025","149","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Sun Aug 03 21:03:25 GMT 2025","Sun Aug 03 21:03:25 GMT 2025","67","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Sun Aug 03 21:03:24 GMT 2025","Sun Aug 03 21:03:25 GMT 2025","81","","","","","","Test GET Call",""
