"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 01 21:03:30 GMT 2025","Mon Sep 01 21:03:30 GMT 2025","55","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Mon Sep 01 21:03:30 GMT 2025","Mon Sep 01 21:03:31 GMT 2025","46","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Mon Sep 01 21:03:30 GMT 2025","Mon Sep 01 21:03:30 GMT 2025","40","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Mon Sep 01 21:03:30 GMT 2025","Mon Sep 01 21:03:30 GMT 2025","32","","","","","","Test GET Call",""
"passed","Mon Sep 01 21:03:30 GMT 2025","Mon Sep 01 21:03:30 GMT 2025","55","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Mon Sep 01 21:03:31 GMT 2025","Mon Sep 01 21:03:31 GMT 2025","20","","","","","","Test DELETE Call",""
