"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 21:03:24 GMT 2025","Thu Aug 07 21:03:24 GMT 2025","95","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Thu Aug 07 21:03:24 GMT 2025","Thu Aug 07 21:03:24 GMT 2025","98","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Thu Aug 07 21:03:24 GMT 2025","Thu Aug 07 21:03:24 GMT 2025","25","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Thu Aug 07 21:03:24 GMT 2025","Thu Aug 07 21:03:24 GMT 2025","47","","","","","","Test GET Call",""
"passed","Thu Aug 07 21:03:24 GMT 2025","Thu Aug 07 21:03:24 GMT 2025","66","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Thu Aug 07 21:03:24 GMT 2025","Thu Aug 07 21:03:24 GMT 2025","38","","","","","","Test DELETE Call",""
