"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 21:03:37 GMT 2025","Thu Jul 24 21:03:38 GMT 2025","61","","","","","","Test GET Call",""
"passed","Thu Jul 24 21:03:38 GMT 2025","Thu Jul 24 21:03:38 GMT 2025","42","","","","","","Test DELETE Call",""
"passed","Thu Jul 24 21:03:37 GMT 2025","Thu Jul 24 21:03:38 GMT 2025","71","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Thu Jul 24 21:03:37 GMT 2025","Thu Jul 24 21:03:38 GMT 2025","50","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Thu Jul 24 21:03:38 GMT 2025","Thu Jul 24 21:03:38 GMT 2025","34","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Thu Jul 24 21:03:37 GMT 2025","Thu Jul 24 21:03:38 GMT 2025","65","","","","","","Test POST Call [post_payload_2.json]",""
