"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 27 21:03:29 GMT 2025","Sun Jul 27 21:03:29 GMT 2025","94","","","","","","Test GET Call",""
"passed","Sun Jul 27 21:03:29 GMT 2025","Sun Jul 27 21:03:29 GMT 2025","67","","","","","","Test DELETE Call",""
"passed","Sun Jul 27 21:03:29 GMT 2025","Sun Jul 27 21:03:29 GMT 2025","212","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Sun Jul 27 21:03:29 GMT 2025","Sun Jul 27 21:03:29 GMT 2025","113","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Sun Jul 27 21:03:29 GMT 2025","Sun Jul 27 21:03:29 GMT 2025","132","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Sun Jul 27 21:03:29 GMT 2025","Sun Jul 27 21:03:29 GMT 2025","120","","","","","","Test POST Call [post_payload_2.json]",""
