"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 21:05:14 GMT 2025","Tue Oct 21 21:05:14 GMT 2025","79","","","","","","Test GET Call",""
"passed","Tue Oct 21 21:05:14 GMT 2025","Tue Oct 21 21:05:14 GMT 2025","93","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Tue Oct 21 21:05:14 GMT 2025","Tue Oct 21 21:05:14 GMT 2025","59","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Tue Oct 21 21:05:14 GMT 2025","Tue Oct 21 21:05:14 GMT 2025","52","","","","","","Test DELETE Call",""
"passed","Tue Oct 21 21:05:14 GMT 2025","Tue Oct 21 21:05:14 GMT 2025","126","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Tue Oct 21 21:05:14 GMT 2025","Tue Oct 21 21:05:14 GMT 2025","100","","","","","","Test UPDATE call [put_payload_2.json]",""
