"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 30 21:04:05 GMT 2025","Thu Oct 30 21:04:05 GMT 2025","227","","","","","","Test UPDATE call [put_payload_2.json]",""
"passed","Thu Oct 30 21:04:05 GMT 2025","Thu Oct 30 21:04:05 GMT 2025","127","","","","","","Test POST Call [post_payload_2.json]",""
"passed","Thu Oct 30 21:04:05 GMT 2025","Thu Oct 30 21:04:05 GMT 2025","137","","","","","","Test UPDATE call [put_payload_1.json]",""
"passed","Thu Oct 30 21:04:05 GMT 2025","Thu Oct 30 21:04:05 GMT 2025","98","","","","","","Test DELETE Call",""
"passed","Thu Oct 30 21:04:05 GMT 2025","Thu Oct 30 21:04:05 GMT 2025","242","","","","","","Test POST Call [post_payload_1.json]",""
"passed","Thu Oct 30 21:04:05 GMT 2025","Thu Oct 30 21:04:05 GMT 2025","77","","","","","","Test GET Call",""
